,PlayerName,Season,Games,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Nikola Jokić,2022,74,C,26,DEN,98,97,185,98
1,Giannis Antetokounmpo,2022,67,PF,27,MIL,95,94,180,94
2,Joel Embiid,2022,68,C,27,PHI,95,92,179,94
3,Luka Dončić,2022,65,PG,22,DAL,93,89,174,91
4,LeBron James,2022,56,C,37,LAL,93,85,172,89
5,Dejounte Murray,2022,68,PG,25,SAS,88,90,170,88
6,Jayson Tatum,2022,76,SF,23,BOS,89,87,170,88
7,Karl-Anthony Towns,2022,74,C,26,MIN,89,86,169,88
8,Rudy Gobert,2022,66,C,29,UTA,84,92,169,88
9,Jimmy Butler,2022,57,SF,32,MIA,88,87,169,88
10,Kevin Durant,2022,55,PF,33,BRK,92,82,169,88
11,Stephen Curry,2022,64,PG,33,GSW,89,85,168,87
12,Pascal Siakam,2022,68,PF,27,TOR,87,86,167,86
13,Ja Morant,2022,57,PG,22,MEM,90,81,167,86
14,Chris Paul,2022,65,PG,36,PHO,86,89,167,86
15,Devin Booker,2022,68,SG,25,PHO,88,84,166,86
16,James Harden,2022,65,PG,32,PHI,88,84,166,86
17,Bam Adebayo,2022,56,C,24,MIA,83,90,166,86
18,Trae Young,2022,76,PG,23,ATL,95,74,166,86
19,Donovan Mitchell,2022,67,SG,25,UTA,89,81,166,86
20,Robert Williams,2022,61,C,24,BOS,82,92,166,86
21,Anthony Davis,2022,40,C,28,LAL,84,87,165,85
22,Fred VanVleet,2022,65,PG,27,TOR,86,85,165,85
23,DeMar DeRozan,2022,76,PF,32,CHI,90,79,165,85
24,LaMelo Ball,2022,75,PG,20,CHO,86,84,164,84
25,Shai Gilgeous-Alexander,2022,56,PG,23,OKC,86,82,163,84
26,Paul George,2022,31,PF,31,LAC,83,86,163,84
27,Jarrett Allen,2022,56,C,23,CLE,83,86,163,84
28,Jaylen Brown,2022,66,SF,25,BOS,84,84,163,84
29,Domantas Sabonis,2022,62,PF,25,SAC,86,82,163,84
30,Kristaps Porziņģis,2022,51,PF,26,WAS,84,85,163,84
31,Darius Garland,2022,68,PG,22,CLE,87,80,162,83
32,Tyrese Haliburton,2022,77,SG-PG,21,IND,84,82,162,83
33,Al Horford,2022,69,C,35,BOS,80,90,162,83
34,Jonas Valančiūnas,2022,74,C,29,NOP,84,82,162,83
35,Deandre Ayton,2022,58,C,23,PHO,83,85,162,83
36,Jrue Holiday,2022,67,PG,31,MIL,84,82,162,83
37,Miles Bridges,2022,80,PF,23,CHO,84,81,161,83
38,Nikola Vučević,2022,73,C,31,CHI,81,86,161,83
39,Desmond Bane,2022,76,SG,23,MEM,83,82,161,83
40,Kyrie Irving,2022,29,PG,29,BRK,87,77,161,83
41,Jaren Jackson Jr.,2022,78,PF,22,MEM,80,89,161,83
42,Julius Randle,2022,72,PF,27,NYK,82,85,161,83
43,Isaiah Hartenstein,2022,68,C,23,LAC,81,86,161,83
44,Mikal Bridges,2022,82,SF,25,PHO,81,86,161,83
45,Clint Capela,2022,74,C,27,ATL,82,84,160,82
46,Jakob Poeltl,2022,68,C,26,SAS,82,84,160,82
47,Anthony Edwards,2022,72,SG,20,MIN,83,81,160,82
48,Draymond Green,2022,46,PF,31,GSW,76,91,160,82
49,Evan Mobley,2022,69,PF,20,CLE,78,89,160,82
50,Marcus Smart,2022,71,PG,27,BOS,78,89,160,82
51,Christian Wood,2022,68,C,26,HOU,83,81,160,82
52,Zach LaVine,2022,67,SG,26,CHI,87,75,159,81
53,Gary Payton II,2022,71,SG,29,GSW,77,89,159,81
54,Jalen Brunson,2022,79,SG,25,DAL,83,80,159,81
55,Mike Conley,2022,72,PG,34,UTA,82,82,159,81
56,Khris Middleton,2022,66,SF,30,MIL,83,80,159,81
57,CJ McCollum,2022,62,SG,30,NOP,86,76,159,81
58,Terry Rozier,2022,73,SG,27,CHO,84,79,159,81
59,Jordan Poole,2022,76,SG,22,GSW,82,81,159,81
60,Brandon Clarke,2022,64,PF,25,MEM,82,82,159,81
61,Scottie Barnes,2022,74,PF,20,TOR,81,84,159,81
62,Kevin Love,2022,74,C,33,CLE,83,80,159,81
63,Andre Drummond,2022,73,C,28,BRK,78,87,159,81
64,Wendell Carter Jr.,2022,62,PF,22,ORL,81,82,158,81
65,Montrezl Harrell,2022,71,C,28,CHO,84,77,158,81
66,Alec Burks,2022,81,SG,30,NYK,78,85,158,81
67,Jusuf Nurkić,2022,56,C,27,POR,81,82,158,81
68,John Collins,2022,54,PF,24,ATL,82,80,158,81
69,Gary Trent Jr.,2022,70,SG,23,TOR,81,82,158,81
70,Brandon Ingram,2022,55,SF,24,NOP,84,77,158,81
71,JaVale McGee,2022,74,C,34,PHO,80,84,158,81
72,Kyle Lowry,2022,63,PG,35,MIA,81,82,158,81
73,Steven Adams,2022,76,C,28,MEM,78,85,158,81
74,Lonzo Ball,2022,35,PG,24,CHI,78,85,158,81
75,Myles Turner,2022,42,C,25,IND,78,85,158,81
76,Andrew Wiggins,2022,73,SF,26,GSW,80,84,158,81
77,Tyrese Maxey,2022,75,PG,21,PHI,83,77,157,80
78,Daniel Gafford,2022,72,C,23,WAS,81,81,157,80
79,Kevon Looney,2022,82,C,25,GSW,77,86,157,80
80,Dorian Finney-Smith,2022,80,PF,28,DAL,78,84,157,80
81,Bobby Portis,2022,72,C,26,MIL,81,81,157,80
82,Mo Bamba,2022,71,C,23,ORL,77,85,157,80
83,Otto Porter Jr.,2022,63,PF,28,GSW,77,86,157,80
84,Tobias Harris,2022,73,PF,29,PHI,81,81,157,80
85,Josh Hart,2022,54,SG,26,POR,81,81,157,80
86,Derrick White,2022,75,SG,27,BOS,80,82,157,80
87,Russell Westbrook,2022,78,PG,33,LAL,81,80,157,80
88,Tyler Herro,2022,66,SG,22,MIA,82,79,157,80
89,Patrick Beverley,2022,58,PG,33,MIN,78,84,157,80
90,Matisse Thybulle,2022,66,SG,24,PHI,74,90,157,80
91,Jae Crowder,2022,67,PF,31,PHO,75,89,157,80
92,De'Anthony Melton,2022,73,SG,23,MEM,77,86,157,80
93,D'Angelo Russell,2022,65,PG,25,MIN,83,76,156,79
94,Jerami Grant,2022,47,PF,27,DET,81,79,156,79
95,Herbert Jones,2022,78,PF,23,NOP,76,86,156,79
96,Cameron Johnson,2022,66,PF,25,PHO,80,81,156,79
97,Malcolm Brogdon,2022,36,PG,29,IND,83,75,156,79
98,Kyle Anderson,2022,69,PF,28,MEM,76,86,156,79
99,OG Anunoby,2022,48,SF,24,TOR,80,81,156,79
100,Lauri Markkanen,2022,61,SF,24,CLE,80,81,156,79
101,Nicolas Batum,2022,59,PF,33,LAC,77,84,156,79
102,Robert Covington,2022,71,PF,31,LAC,75,87,156,79
103,Bradley Beal,2022,40,SG,28,WAS,83,75,156,79
104,De'Aaron Fox,2022,59,PG,24,SAC,83,76,156,79
105,Jarred Vanderbilt,2022,74,PF,22,MIN,76,86,156,79
106,Mason Plumlee,2022,73,C,31,CHO,76,84,155,79
107,Will Barton,2022,71,SG,31,DEN,80,79,155,79
108,Damian Lillard,2022,29,PG,31,POR,86,71,155,79
109,Jose Alvarado,2022,54,PG,23,NOP,77,82,155,79
110,Immanuel Quickley,2022,78,PG,22,NYK,80,79,155,79
111,Thaddeus Young,2022,52,PF,33,TOR,77,82,155,79
112,Paul Reed,2022,38,C,22,PHI,76,84,155,79
113,Tyus Jones,2022,73,PG,25,MEM,80,79,155,79
114,Jordan Clarkson,2022,79,SG,29,UTA,81,77,155,79
115,Delon Wright,2022,77,SG,29,ATL,76,84,155,79
116,Mike Muscala,2022,43,C,30,OKC,80,79,155,79
117,Caleb Martin,2022,60,SF,26,MIA,77,82,155,79
118,Aaron Gordon,2022,75,PF,26,DEN,81,77,155,79
